,EVENT_ID,GAME_ID,PITCH_SEQ_TX,PIT_ID,INN_CT,RBI_CT,PA_BALL_CT,BAT_DEST_ID,EVENT_OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,BAT_HOME_ID,PIT_COUNT,SCORE_DIFF,TEAM_WINS
99,69,ANA200106270,BBBFSX,david002,8,0,3,2,0,2,2,1,112,0,False
100,52,ANA200106280,BLBFX,rappp001,7,0,2,0,1,1,3,0,101,-2,False
101,66,ANA200106280,BCFBS,olivd001,7,0,2,0,1,1,6,1,95,5,True
102,33,ANA200106290,CCBBFX,schos001,3,1,2,2,0,2,8,0,62,-6,False
103,53,ANA200106290,CCBBX,moyej001,5,0,2,0,1,5,9,1,82,4,True
104,60,ANA200106300,H,ortir002,7,0,1,1,0,3,4,0,93,-1,False
105,56,ANA200106300,CBBBB,stard001,6,0,4,1,0,3,4,1,94,1,True
106,48,ANA200107010,BCBX,wisem001,6,2,2,4,0,0,2,0,101,-2,False
107,63,ANA200107120,BBFX,schos001,9,1,2,1,0,4,0,0,122,4,True
108,53,ANA200107130,CFFX,valdi001,7,0,0,0,1,2,3,0,92,-1,False
109,73,ANA200107130,BBCFX,schic002,9,0,2,1,0,2,6,1,115,4,True
110,45,ANA200107140,BBFFFX,washj001,5,0,2,0,1,4,3,0,94,1,False
111,66,ANA200107140,X,johnr005,7,0,0,0,1,5,4,1,110,-1,False
112,51,ANA200107150,X,ortir002,7,2,0,3,0,1,3,0,93,-2,False
113,43,ANA200107160,SBX,rappp001,5,1,1,1,0,4,2,0,91,2,False
114,47,ANA200107160,BBSBX,tollb001,5,0,3,1,0,4,4,1,63,0,False
115,49,ANA200107170,BX,schos001,6,3,1,3,0,2,2,0,93,0,False
116,66,ANA200107170,CX,joneb003,7,0,0,1,0,2,7,1,115,5,False
117,67,ANA200107240,BBX,washj001,8,3,2,5,0,7,3,0,107,4,True
118,45,ANA200107240,BFBBX,kennj001,5,0,3,0,1,6,3,1,89,-3,False
119,44,ANA200107250,CX,wisem001,6,0,0,0,1,0,3,0,97,-3,False
120,41,ANA200107250,BX,wilsp001,5,0,1,0,1,0,3,1,64,3,True
121,47,ANA200107260,BBCX,ortir002,6,0,2,0,1,5,2,0,73,3,True
122,15,ANA200107260,BCFFFFBBX,ruper001,2,0,3,1,0,5,0,1,28,-5,False
123,65,ANA200107270,BFBFX,schos001,8,0,2,0,1,3,3,0,103,0,False
124,61,ANA200107270,BFFB+3,johnj007,7,0,2,0,1,3,3,1,104,0,False
125,52,ANA200107280,CBBX,rappp001,6,0,2,0,1,1,3,0,105,-2,False
126,58,ANA200107280,BBBH,robew001,6,0,4,1,0,2,3,1,98,1,False
127,60,ANA200107290,X,valdi001,8,0,0,0,1,0,1,0,118,-1,False
128,55,ANA200107290,CFFBFBBC,mercj001,7,0,3,0,1,0,1,1,94,1,True
129,59,ANA200108070,BFBFX,rappp001,7,0,2,0,1,8,2,0,101,6,True
130,35,ANA200108070,X,wellk001,4,1,0,1,0,4,0,1,76,-4,False
131,28,ANA200108080,BBFBX,washj001,3,0,3,0,1,1,6,0,65,-5,False
132,58,ANA200108090,BBX,valdi001,8,0,2,0,1,3,1,0,95,2,True
133,53,ANA200108090,CBCX,lowes001,7,0,1,1,0,3,0,1,103,-3,False
134,69,ANA200108100,FBBSFFX,schos001,8,0,2,0,1,8,3,0,109,5,True
135,31,ANA200108100,X,lyonb003,3,1,0,1,0,5,0,1,61,-5,False
136,19,ANA200108110,BBCBSB,ortir002,2,0,4,1,0,1,5,0,48,-4,False
137,64,ANA200108110,CBX,loaie001,7,0,1,2,0,6,6,1,95,0,False
138,55,ANA200108120,CSBX,rappp001,7,0,1,0,1,5,1,0,95,4,False
139,51,ANA200108120,CFFBS,hallr001,6,0,1,0,1,5,0,1,81,-5,False
140,38,ANA200108200,BBX,valdi001,5,0,2,1,0,0,5,0,67,-5,False
141,60,ANA200108200,FFX,castf001,7,0,0,0,2,0,6,1,84,6,True
142,29,ANA200108210,BBBCFFX,schos001,3,4,3,4,0,0,4,0,59,-4,False
