,INN_CT,RBI_CT,PA_BALL_CT,EVENT_OUTS_CT,BAT_DEST_ID,SCORE_DIFF,PIT_COUNT
498,8,0,2,2,0,5,106
499,7,0,0,1,0,-4,107
500,5,0,1,2,0,-5,73
501,2,0,1,1,0,7,47
502,5,0,0,1,0,0,68
503,4,0,4,0,1,0,78
504,2,0,2,1,0,1,30
505,4,1,1,0,2,4,86
506,7,0,0,1,0,0,85
507,7,0,1,1,0,0,92
508,5,0,2,1,0,0,105
509,7,0,4,0,1,0,114
510,7,0,4,0,1,1,106
511,7,0,2,1,0,-2,97
512,9,0,2,1,0,0,117
513,7,0,2,1,0,0,101
514,4,2,1,0,2,3,76
515,6,2,0,0,4,-5,82
516,4,0,0,1,0,6,104
517,7,0,1,1,0,-4,103
518,6,0,4,0,1,0,113
519,5,0,2,0,1,-1,84
520,8,0,1,1,0,0,97
521,9,0,4,0,1,0,114
522,7,0,2,0,1,1,85
523,7,0,0,1,0,-3,110
524,7,1,0,0,1,1,114
525,4,0,4,0,1,0,42
526,9,0,0,1,0,0,125
527,7,0,3,1,0,3,96
528,2,0,4,0,1,6,56
529,2,1,2,0,1,-5,43
530,6,0,1,2,0,-1,80
531,6,0,2,1,0,1,106
532,7,1,1,0,4,-6,84
533,2,0,4,0,1,4,59
534,7,1,1,1,0,2,105
535,7,0,0,1,0,0,97
536,7,0,3,1,0,0,90
537,8,0,4,0,1,-3,103
538,7,0,0,0,1,3,94
539,6,0,4,0,1,-2,62
540,7,0,3,1,0,3,97
541,8,2,1,0,2,-5,100
542,1,1,2,0,1,1,15
543,7,1,0,0,1,-1,93
544,3,0,1,1,0,0,34
545,8,0,4,0,1,-2,104
546,7,0,3,1,0,-1,84
547,7,0,3,1,0,-5,93
548,6,0,1,1,0,5,81
549,8,0,1,1,0,-2,96
550,6,0,1,0,2,3,80
551,6,0,0,1,0,-1,84
552,3,0,0,1,0,4,66
553,7,0,0,1,0,-2,90
554,3,0,4,0,1,4,64
555,7,0,4,0,1,-1,104
556,6,0,0,1,1,1,112
557,5,0,1,1,0,0,82
558,7,0,1,1,0,0,99
559,7,0,0,1,0,3,103
560,7,0,1,1,0,-3,97
561,5,0,2,1,0,-4,102
562,4,0,4,0,1,4,72
563,6,1,4,0,1,2,92
564,7,0,2,2,0,-8,100
565,6,0,0,1,0,1,97
566,6,0,0,0,1,-1,81
567,7,1,1,0,2,-1,74
568,7,0,0,1,0,-2,90
569,7,0,3,0,1,1,121
570,7,0,0,1,0,-1,103
571,4,1,2,0,1,4,76
572,7,0,0,0,1,-9,97
573,6,0,1,1,0,2,109
574,7,0,1,0,1,-1,114
575,9,0,2,0,1,-4,111
576,7,0,1,1,0,3,97
577,8,0,1,1,1,-8,105
578,7,0,1,1,0,8,98
579,6,0,1,1,0,5,108
580,6,0,4,0,1,-3,101
581,6,0,3,1,0,5,97
